id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
FOXL2	4	0.97037	0.97042	0.996523	1308	0	0.12556	0.098625	0.16301	0.948912	220	1	0.12556
ZNF248	4	0.12047	0.19368	0.963069	272	2	-0.01374	0.099309	0.16398	0.948912	221	1	-0.01374
HOXD8	4	0.11701	0.1885	0.961013	266	2	-0.13861	0.099993	0.16494	0.948912	222	1	-0.13861
TBX15	4	0.014448	0.037262	0.853247	59	2	-0.15709	0.10068	0.16587	0.948912	223	1	-0.15709
NFYB	4	0.66648	0.66698	0.996523	888	0	0.16349	0.10069	0.16587	0.948912	224	2	0.16349
NFE4	4	0.076928	0.1316	0.954076	182	2	-0.02276	0.10116	0.16648	0.948912	225	2	-0.02276
CEBPE	4	0.26328	0.30135	0.996523	402	1	0.094628	0.10136	0.16673	0.948912	226	1	0.094628
TIGD1	4	0.71778	0.71826	0.996523	951	0	0.080559	0.10186	0.16751	0.948912	227	2	0.080559
IL2	4	0.74669	0.74741	0.996523	989	0	0.017157	0.10204	0.16773	0.948912	228	1	0.017157
CLOCK	4	0.45619	0.46028	0.996523	607	1	0.044063	0.10256	0.16842	0.948912	229	2	0.044063
IRF5	4	0.38908	0.40121	0.996523	530	1	0.026931	0.10273	0.16861	0.948912	230	1	0.026931
MAF	4	0.8766	0.87791	0.996523	1168	0	0.058895	0.10303	0.16908	0.948912	231	2	0.058895
PTGDR2	4	0.69628	0.69674	0.996523	925	0	0.17392	0.10327	0.16949	0.948912	232	2	0.17392
ZNF696	4	0.35409	0.37226	0.996523	497	1	-0.059787	0.10341	0.1696	0.948912	233	1	-0.059787
RORB	4	0.69171	0.69205	0.996523	919	0	0.14157	0.10351	0.16976	0.948912	234	2	0.14157
ZNF711	4	0.56422	0.56544	0.996523	747	0	0.021279	0.10409	0.17067	0.948912	235	1	0.021279
